class name ,con-bounces,contentions,waittime-min,waittime-max,waittime-total,waittime-avg ,acq-bounces,acquisitions,holdtime-min,holdtime-max,holdtime-total, holdtime-avg
&idev->mc_lock:,0,0,0,0,0,0,0,18,0.13,0.43,4.29,0.24
&mc->mca_lock:,0,0,0,0,0,0,0,79,0.12,1.43,29.37,0.37
rcu_read_lock_bh-R:,0,0,0,0,0,0,0,15169,0.5,11466.85,467839.15,30.84
&anon_vma->rwsem:,0,0,0,0,0,0,12552,220729,0.12,185.87,146099.28,0.66
&sig->cred_guard_mutex:,0,0,0,0,0,0,15,29,14.61,36164.77,261993.71,9034.27
&sig->exec_update_lock-W:,0,0,0,0,0,0,11,15,187.64,36064.44,260346.78,17356.45
&sig->exec_update_lock-R:,0,0,0,0,0,0,5,10,0.88,1.72,11.76,1.18
ptlock_ptr(page)#2/1:,0,0,0,0,0,0,2668,12130,0.15,169.32,54964.78,4.53
&memcg->move_lock:,0,0,0,0,0,0,0,2712030,0.07,1646.19,273618.07,0.1
rcu_read_lock_sched-R:,0,0,0,0,0,0,0,19335,0.08,200.23,3856.22,0.2
uts_sem-R:,0,0,0,0,0,0,45,73,0.14,1.83,64.07,0.88
&dentry->d_lock/1:,0,0,0,0,0,0,1193,2393,0.13,58.61,1517.4,0.63
&fsnotify_mark_srcu-R:,0,0,0,0,0,0,0,9178,0.07,53.79,1791.14,0.2
&prev->lock:,0,0,0,0,0,0,497,6337,0.09,11.57,1378.38,0.22
swap_lock:,0,0,0,0,0,0,16,41,0.26,1.79,36.62,0.89
keyring_name_lock:,0,0,0,0,0,0,1,1,0.62,0.62,0.62,0.62
cpufreq_driver_lock-R:,0,0,0,0,0,0,1,14,0.12,0.63,2.67,0.19
kn->active#1-R:,0,0,0,0,0,0,0,100,0.37,10.23,208.34,2.08
cdev_lock:,0,0,0,0,0,0,14,21,0.4,2.17,24.23,1.15
&tty->read_wait:,0,0,0,0,0,0,155,1489,0.1,35.04,1364.63,0.92
&tty->write_wait:,0,0,0,0,0,0,156,1436,0.1,15.93,368.31,0.26
&tty->ldisc_sem-R:,0,0,0,0,0,0,155,1492,0.18,128.69,6542.87,4.39
&tty->termios_rwsem-R:,0,0,0,0,0,0,52,172,0.17,39.5,1113.1,6.47
lib/random32.c:495:,0,0,0,0,0,0,0,1,116.09,116.09,116.09,116.09
(&hcd->rh_timer):,0,0,0,0,0,0,0,217,56.84,129.67,14511.23,66.87
&mm->context.lock:,0,0,0,0,0,0,17,25,0.37,1.04,15.27,0.61
&sb->s_type->i_lock_key#2:,0,0,0,0,0,0,44,44,0.16,1,12.15,0.28
&sb->s_type->i_lock_key#2:,0,0,0,0,0,0,760,15765,0.07,210.16,5884,0.37
&pipe->mutex/1:,0,0,0,0,0,0,99128,234569,0.15,235.46,222731.51,0.95
&pid->lock:,0,0,0,0,0,0,46,144,0.13,1.91,66.76,0.46
&p->lock:,0,0,0,0,0,0,75,2797,0.14,1446.89,76868.96,27.48
